"VarName","TimeString","VarValue","Validity","Time_ms"
"In_Analog","10/25/2018 20:17:01",0,1,43398845147.9861
"In_Analog_MOVE","10/25/2018 20:17:01",0,1,43398845147.9861
"In_Analog_VOLTAGE","10/25/2018 20:17:01",3.032856,1,43398845147.9861
"In_PV_Percentual","10/25/2018 20:17:01",38.57784,1,43398845147.9861
"Out_LMN_PER_PID","10/25/2018 20:17:01",0,1,43398845147.9861
"Out_LMN_PID","10/25/2018 20:17:01",4.295302E-23,1,43398845147.9861
"Out_Proportional","10/25/2018 20:17:01",0,1,43398845147.9861
"Pump","10/25/2018 20:17:01",0,1,43398845147.9861
"Solenoid","10/25/2018 20:17:01",0,1,43398845147.9861
"PV_Out_PID","10/25/2018 20:17:01",38.57784,1,43398845147.9861
"SP_Out_PID","10/25/2018 20:17:01",-7.230892E-07,1,43398845147.9861
"In_Analog","10/25/2018 20:17:02",0,1,43398845159.5602
"In_Analog_MOVE","10/25/2018 20:17:02",0,1,43398845159.5602
"In_Analog_VOLTAGE","10/25/2018 20:17:02",3.032856,1,43398845159.5602
"In_PV_Percentual","10/25/2018 20:17:02",38.57784,1,43398845159.5602
"Out_LMN_PER_PID","10/25/2018 20:17:02",0,1,43398845159.5602
"Out_LMN_PID","10/25/2018 20:17:02",4.295302E-23,1,43398845159.5602
"Out_Proportional","10/25/2018 20:17:02",0,1,43398845159.5602
"Pump","10/25/2018 20:17:02",0,1,43398845159.5602
"Solenoid","10/25/2018 20:17:02",0,1,43398845159.5602
"PV_Out_PID","10/25/2018 20:17:02",38.57784,1,43398845159.5602
"SP_Out_PID","10/25/2018 20:17:02",-7.230892E-07,1,43398845159.5602
"In_Analog","10/25/2018 20:17:03",0,1,43398845171.1343
"In_Analog_MOVE","10/25/2018 20:17:03",0,1,43398845171.1343
"In_Analog_VOLTAGE","10/25/2018 20:17:03",3.032856,1,43398845171.1343
"In_PV_Percentual","10/25/2018 20:17:03",38.57784,1,43398845171.1343
"Out_LMN_PER_PID","10/25/2018 20:17:03",0,1,43398845171.1343
"Out_LMN_PID","10/25/2018 20:17:03",4.295302E-23,1,43398845171.1343
"Out_Proportional","10/25/2018 20:17:03",0,1,43398845171.1343
"Pump","10/25/2018 20:17:03",0,1,43398845171.1343
"Solenoid","10/25/2018 20:17:03",0,1,43398845171.1343
"PV_Out_PID","10/25/2018 20:17:03",38.57784,1,43398845171.1343
"SP_Out_PID","10/25/2018 20:17:03",-7.230892E-07,1,43398845171.1343
"In_Analog","10/25/2018 20:17:04",0,1,43398845182.7083
"In_Analog_MOVE","10/25/2018 20:17:04",0,1,43398845182.7083
"In_Analog_VOLTAGE","10/25/2018 20:17:04",3.032856,1,43398845182.7083
"In_PV_Percentual","10/25/2018 20:17:04",38.57784,1,43398845182.7083
"Out_LMN_PER_PID","10/25/2018 20:17:04",0,1,43398845182.7083
"Out_LMN_PID","10/25/2018 20:17:04",4.295302E-23,1,43398845182.7083
"Out_Proportional","10/25/2018 20:17:04",0,1,43398845182.7083
"Pump","10/25/2018 20:17:04",0,1,43398845182.7083
"Solenoid","10/25/2018 20:17:04",0,1,43398845182.7083
"PV_Out_PID","10/25/2018 20:17:04",38.57784,1,43398845182.7083
"SP_Out_PID","10/25/2018 20:17:04",-7.230892E-07,1,43398845182.7083
"In_Analog","10/25/2018 20:17:05",0,1,43398845194.2824
"In_Analog_MOVE","10/25/2018 20:17:05",0,1,43398845194.2824
"In_Analog_VOLTAGE","10/25/2018 20:17:05",3.032856,1,43398845194.2824
"In_PV_Percentual","10/25/2018 20:17:05",38.57784,1,43398845194.2824
"Out_LMN_PER_PID","10/25/2018 20:17:05",0,1,43398845194.2824
